List of Permitted Ayurveda Colleges for the academic year 2024-25 as on 05.02.2026,,,,,,,,,,,,
342,AYU0203,Maharashtra,"MES Ayurved Mahavidyalaya, Institute of Health Sciences, Ghanekhunt-Lote, Tal. Khed, Distt Ratnagiri-4157222, Maharashtra",Private,"Grant of Conditional Permission for intake capacity with 100 seats in UG (BAMS) Course and 07 seats in 2
PG courses in the subject namely (i) Shalya Tantra-04 Seats   and   (ii)   Panchakarma   -   03   Seats   for   the academic session 2024-25 under section 28 of NCISM Act, 2020",100,7,0,0,0,0,"Conditional Permission (UG - 100 seats without EWS, PG - 07 seats without EWS)"
343,AYU0209,Odisha,"Kaviraj Ananta Tripathy Sharma Ayurved College & Hospital, At/P.O Ankushpur, Via Kukudakhandi
Distt. Ganjam-761100, Orissa",Government,"Grant of conditional permission for intake capacity with 45 seats (56 seats including EWS) [instead of 60 seats (75 Seats including EWS)] in UG (BAMS) course for the academic session 2024-25 under section 28 of NCISM Act, 2020 and renewal of permission with 04 seats (without EWS) in 01 PG course in the subject namely Shalya Tantra for the academic session 2024-25 under section 29 of NCISM Act, 2020",45,4,0,56,0,0,"Conditional Permission (UG - 45 seats without EWS, PG - 04 seats without EWS) & (UG - 56 seats including EWS)"
344,AYU0213,Punjab,"Desh Bhagat Ayurvedic College & Hospital
Post Box No.5, Amloh Distt. Fatehgarh Sahib-147203, Punjab",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)  course  and  10  seats  in  02  PG  courses  in  the subject namely i) Kayachikitsa - 05 seats and ii) Rasa Shastra & Bhaisajya Kalpana - 05 seats under section 28 of NCISM Act, 2020 for the academic session 2024- 25",60,10,0,0,0,0,"Conditional Permission (UG - 60 seats without EWS, PG - 10 seats without EWS)"
345,AYU0221,Punjab,"Smt. Urmila Devi Ayurvedic College of Medical Sciences & Hospital UNA Road (10 Km), V & P.O Kharkan, Distt.
Hoshiarpur-146001, Punjab",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)  course  under  section  28  of  NCISM  Act,  2020 for the academic session 2024-25",60,0,0,0,0,0,"Condtional Permission (UG
- 60 seats without EWS)"
346,AYU0222,Punjab,"Babe Ke Ayurvedic Medical College & Hospital
Village & P.O Daudhar, Tehsil & Dist. Moga-142053, Punjab",Private,"Grant of conditional permission for intake capacity with
54  seats  [instead  of  60  seats]  seats  in  UG  (BAMS) course) and 12 seats in 02 PG  courses in the subject namely (i) Dravyaguna Vigyana - 06 seats, (ii) Rachna Sharir   -   06   seats   and   denial   of   conditional permission  with  07  seats  in  02  PG  course  in  the subject  namely  (i)  Ayurved  Samhita  &  Siddhanta  -06 seats and (ii) Kaumarbhritya - Bala Roqa - 01 seats for the  academic  session  2024-25  under  section  28  of NCISM Act, 2020 for the academic session 2024-25",54,12,0,0,0,0,"Conditional Permission with Seat Reduction    (UG
- 54 seats, PG - 12 seats without EWS) & Denial of Permission in 02 PG course"
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
347,AYU0223,Punjab,"Saint Sahara Ayurvedic Medical College & Hospital, Kot Shamir, Bathinda-151001,
Punjab",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)   course   for   the   academic   session   2024-25 under section 28 of NCISM Act, 2020",60,0,0,0,0,0,"Condtional Permission (UG
- 60 seats without EWS)"
348,AYU0235,Tamil Nadu,"Sri Sai Ram Ayurveda Medical College & Research Centre, Sai Leo Nagar, Poonthandalam Sriperumbudur,
Taluk Kanchipuram Chennai–600044, Tamil Nadu",Private,"Grant of Conditional Permission for intake capacity with
50  seats UG  (BAMS)  course  for  the  academic session 2024-25 under section 28 of NCISM Act, 2020",50,0,0,0,0,0,Conditional Permission (UG - 50 seats without EWS)
349,AYU0241,Uttarakhand,"Uttaranchal Ayurvedic College, Ayurved, Estate 17, Old Mussoorie Road,
Rajpur Dehradun–248009, Uttarakhand",Private,"Grant  of  Condtional  Permission  with  100  seats  in  UG (BAMS)  course  and  20  seats  in  04  PG  courses  in  the subjects   namely   (i)   Ayurved   Samhita,   Sanskrit   & Siddhant-  05  seats,  (ii)  Agad  Tantra  -05  seats,  (iii) Dravyaguna  Vigyana-  05  seats,  (iv)  Swasthvritta-05 seats for the academic session 2024-25, under section 28 of NCISM Act, 2020",100,20,0,0,0,0,"Conditional Permission (UG - 100 seats, PG - 20
seats without EWS)"
350,AYU0243,Uttarakhand,"Patanjali Bhartiya Ayurvigyan Evam Anusandhan Sansthan, Patanjali YogaPeeth,
Haridwar – 249402, Uttarakhand",Private,"Grant  of  Conditional  Permission  with  100 seats  in UG (BAMS)  course  and  63  seats  in  09  PG  courses  in  the subject   namely   (i)   Ayurved   Samhita,   Sanskrit   & Siddhant-  05  seats  (ii)  Kriya  Sharir-  05  seats  (iii) Dravyaguna  Vigyana-05  seats  (iv)  Rasa  Shastra  & Bhaishajya  Kalpana-05  seats (v)  Kaumarbhritya-  Bala Roga-  06  seats  (vi)  Shalya  Tantra-  07  seats  (vii) Shalakya Tantra- 10 seats (viii) Kayachikitsa- 10 seats
(ix) Panchkarma- 10 seats under section 28 of NCISM Act,   2020   for   the   academic   session   2024-25   & Issuance of Letter of Permission to start 02 new PG courses with 14 seats in the subject namely (i) Prasuti and Stri Roga -07 seats (ii) Swasthvritta and Yoga -07 seats   from   the   academic   session   2024-25,   under section 29 of NCISM Act, 2020",100,77,0,0,0,0,"Conditional Permission (UG - 100 seats,  PG - 63
seats without EWS) & Letter of Permission 02 new PG courses with 14 seats"
351,AYU0251,Uttar Pradesh,"Sham-E-Ghausia Minority Ayurvedic Medical College & Hospital, At/P.O-Saheri, Via Nandganj
Dist. Ghazipur -233302, Uttar Pradesh",Private,"Grant of conditional permission with intake capacity of
52  seats  (instead  of  60  seats)  in  UG  (BAMS)  course and 17 seats in 04 PG courses in the subject namely i) Prasuti  &  Stri  Roga  -  04  seats  ii)  Shalya  tantra  -  04 seats iii) Rog Nidan avum Vikriti Vigyan - 04 seats iv) Kayachikitsa - 05 seats for the academic session 2024- 25 under section 28 of NCISM Act, 2020 and relevant regulation thereunder",52,17,0,0,0,0,"Conditional Permission with Seat Reduction in UG & Conditional Permission in PG in Compliance of Court Order (UG - 52 & PG
-17 seats without EWS)"
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
352,AYU0252,Uttar Pradesh,"Aligarh Unani & Ayurvedic Medical College & ACN Hospital, Opp. F.M. Tower, Anoopshahr Road,
Aligarh–202002, Uttar Pradesh",Private,"Grant of Conditional Permission with intake capacity of 42 seats [instead of 60 seats] in UG (BAMS) course for the  academic  session  2024-25  under  section  28  of NCISM Act, 2020",42,0,0,0,0,0,Conditional Permission with Seat Reduction (UG - 42 seats without EWS)
353,AYU0253,Uttar Pradesh,"Vaidya Yagya Dutt Sharma Ayurved Mahavidyalaya, Opposite Dharpa Power House, Distt. Bulandshahar,
G.T. Road, Khurza- 203131, Uttar Pradesh",Private,"Grant of Conditional Permission with intake capacity of
100  seats  in  UG  (BAMS)  course  under  section  28  of NCISM Act, 2020 for the academic session 2024-25 & Grant of Conditional Permission with intake capacity of 10 seats [instead of 14 seats] in 02 PG courses in
the subjects namely (i) Prasuti Tantra and Stri Roga - 04  seats  (ii)  Shalya  Tantra-06  seats  (instead  of  10 seats]  under  section  28  of  NCISM  Act,  2020  for  the academic session 2024-25",100,10,0,0,0,0,Conditional Permission (UG - 100 seats without EWS) & Conditional Permission in PG with seat reduction (PG - 10 seats without EWS)
354,AYU0254,Uttar Pradesh,"Sri Sai Ayurvedic Medical College & Hospital, Opp. Phal Mandi, Sarsol, G.T. Road Aligarh–202001,
Uttar Pradesh",Private,"Grant  of  Conditional  Permission  with  100 seats  in UG (BAMS) Courses and 12 Seats in 02 PG Courses in the subject  namely  i)  Prasuti  &  Stri  Roga  -  06  seats,  ii) Shalyatantra - 06 seats under section 28 of NCISM Act, 2020 for the academic session 2024-25",100,12,0,0,0,0,"Conditional Permission (UG - 100 seats,  PG - 12
seats without EWS)"
355,AYU0259,Uttar Pradesh,"Shri Anand Niketan Dharmshala Avom Dharmik Trust, Shri Dhanwantri Ayurvedic Medical College & Research Centre , At NH – 02, Vill. Semari, Tehsil Chhatta , Distt. Mathura- 281401, Uttar Pradesh",Private,"Grant of Conditional Permission with intake capacity of 100 seats in UG (BAMS) course and 40 seats (instead of 42 seats) in 07 PG courses in the subjects namely i} Ayurved  Samhita,  Siddhant  -  06  seats  ii}  Rachna Sharir - 05 seats (instead of 06 seats) iii} Kriya Sharir 06 seats iv} Kayachikitsa - 06 seats v} Prasuti & Stri Raga - 05 seats (instead of 06 seats) vi) Shalya tantra 06 seats vii} Kaumarbhritya - Bala Raga - 06 seats for the academic session 2024-25",100,40,0,0,0,0,"Conditional Permission (UG - 100 seats,  PG - 40
seats without EWS)"
356,AYU0319,Karnataka,"Hillside Ayurvedic Medical College & Hospital, No.174/2, Saldoddi, Agara Village Bangalore-62, Karnataka",Private,"Grant of Conditional  Permission with intake capacity of 50 seats in UG (BAMS) course under section 28 of the NCISM Act, 2020 for the academic session 2024-25",50,0,0,0,0,0,Conditional Permission (UG - 50 seats without EWS)
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
357,AYU0320,Uttarakhand,"Chaudhary Harchand Singh Atmaram EducationTrust, Quadra Institute of Ayurveda, NH-58, Haridwar Road Roorkee-247667, Distt.
Haridwar, Uttarakhand",Private,"Grant of Conditional Permission with intake capacity of 60 seats in UG (BAMS) course for the academic session 2024-25  under  section  28  of  NCISM  Act,  2020  and Renewal of conditional permission with 21 seats in 04 PG courses in the subject namely (i) Ayurved Samhita, Sanskrit  & Siddhanta  - 05 seats (ii) Rachana  Sharir - 05  seats  (iii)  Kayachikitsa  -  06  seats  and  (iv)  Shalya tantra  -  05  seats  for  the  academic  session  2024-25 under section 29 of NCISM Act, 2020",60,21,0,0,0,0,"Conditional Permission (UG - 60 seats, PG- 21
seats without EWS)"
358,AYU0321,Rajasthan,"Mahatma Jyotiba Fule Ayurveda Mahavidyalaya,
Sikar Road Harota, Chomu, Jaipur-303702,
Rajasthan",Private,"Grant of Conditional  Permission with 100 seats in UG (BAMS)  course  under  section  28  of  the  NCISM  Act, 2020 for the academic session 2024-25",100,0,0,0,0,0,Conditional Permission (UG - 100 seats without EWS)
359,AYU0322,Himachal Pradesh,"Abhilashi Ayurvedic College & Research Institute,
Chail Chowk, Teh. Chachiot, Mandi-175008,
Himachal Pradesh",Private (constitute college of university),"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)  course  and  08  seats  in  02  PG  courses  in  the subject namely i) Kaumarbhritya-Bala Roga - 04 seats and  ii)  Kayachikitsa  -  04  seats  under  section  28  of NCISM Act, 2020 for the academic session 2024-25",60,8,0,0,0,0,"Conditional Permission (UG - 60 seats without EWS, PG - 8 seats without EWS)"
360,AYU0323,Haryana,"Lal Bahadur Shastri Mahila Ayurvedic College & Hospital, Sadhaura Road, Bilaspur, Yamunanagar-135001, Haryana",Private,"Grant  of  Conditional  Permission  with  50  seats  in  UG (BAMS)  course  under  section  28  of  NCISM  Act,  2020 for the academic session 2024-25",50,0,0,0,0,0,Conditional Permission (UG - 50 seats without EWS)
361,AYU0330,Uttar Pradesh,"Gangasheel Ayurvedic Medical College & Hospital,
Manpuria Janki Prasad, Kamua, Bilaspur Road,
Bareilly-243123, Uttar Pradesh",Private,"Grant  of  Conditional  Permission  with  100 seats  in UG (BAMS)  course  under  section  28  of  NCISM  Act,  2020 for the academic session 2024-25",100,0,0,0,0,0,Conditional Permission (UG - 100 seats without EWS)
362,AYU0332,Uttar Pradesh,"Shri Krishna Ayurvedic Medical College & Hospital, Rona Khurd Cholapur, Varanasi-221101, Uttar Pradesh",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)  course  under  section  28  of  NCISM  Act,  2020 for the academic session 2024-25",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
363,AYU0334,Gujarat,"Dhanwantri Ayurved College & Hospital,
At & P.O. Koydam, Ta. Virpur, Dist. Mahisagar-388260, Koydam (Kajiya) Gujarat",Private,"Grant  of  Conditional  Permission  with  50  seats  in  UG (BAMS)  course,  under  section  28  of  the  NCISM  Act, 2020 for the academic session 2024-25",50,0,0,0,0,0,Conditional Permission (UG - 50 seats without EWS)
364,AYU0336,Uttar Pradesh,"Kunwar Shekhar Vijendra Ayurved Medical College & Research Center, Adarsh Istitute Area, Babu Vijendra Marg, Gangoh, Distt.- Saharanpur-247341,
Uttar Pradesh",Private,"Grant of conditional permission with intake capacity of 100 seats in UG (BAMS) course and 35 seats (instead of 36 seats) in 06 PG courses in the  subjects namely
(i) Kayachikitsa- 06 seats (ii) Shalya Tantra- 06 seats
(iii) Prasuti & Stri Roga - 06 seats (iv) Kriya Sharir- 06 seats (v) Rachna Sharir- 05 seats (instead of 06 seats
(vi) Roga Nidana avum Vikriti Vigyana-06 seats under section  28  of  NCISM  Act,  2020  for  the  academic session  2024-25  Denial  of  Letter  of  Permission  to start 02 new PG courses with 12 seats in the subjects namely  (i)  Kaumarbhrltya  -  06  seats  (ii)  Shalakya Tantra - 06 seats from the academic session 2024-25, under sectlon 29 of NCISM Act, 2020",100,35,0,0,0,0,"Conditional Permission in UG and Conditional Permission with seat Reduction in PG (UG - 100 seats, PG - 35 seats without EWS) & Denial of Letter of Permission in PG (PG- 12 seats without EWS)"
365,AYU0344,Andhra Pradesh,"Sri Adi Shiva Sadguru Alli Saheb Sivaaryula Ayurvedic Medical College and Research Centre, Guntakal-515801, Anantapur, Andhar Pradesh",Private,"Grant of Conditional Permission for intake capacity with
100  seats  in  UG  (BAMS)  course  for  the  academic session 2024-25 under section 28 of NCISM Act, 2020",100,0,0,0,0,0,Conditional Permission (UG - 100 seats without EWS)
366,AYU0345,Tamil Nadu,"Maria Educational and Charitable Trust, Chevaracode, Veeyanoor Post, Kanyakumari Distt-629177, Tamil Nadu",Private,"Grant of Conditional Permission for intake capacity with 60 seats in UG (BAMS) course for the academic session 2024-25 under section 28 of NCISM Act, 2020",60,0,0,0,0,0,Conditioal Permission (UG - 60 seats without EWS)
367,AYU0347,Karnataka,"Tapovana Ayurvedic Medical College & Hospital Doddabathi – 577566, Davangere, Karnataka",Private,"Grant of Conditional Permission with intake capacity of
60  seats  in  UG  (BAMS)  course,  under  section  28  of NCISM Act, 2020 for the academic session 2024-25",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
368,AYU0348,Rajasthan,"Faculty of Ayurvedic Science, Jayoti Vidayapeeth Women’s
University, Vedant Gyan Valley, Jharna,
Mahala-Jobner Link Road, Jaipur Ajmer Expressway, Jaipur- 303122, Rajasthan",Private,"Grant of Conditional Permission with intake capacity of 30 seats (instead of 60 seats) in UG (BAMS) course for the  academic  session  2024-25  under  section  28  of NCISM Act, 2020 and relevant regulations thereunder",30,0,0,0,0,0,Conditional Permission with seat reduction in UG in compliance of Court Order (UG - 30 seats without EWS)
369,AYU0352,Uttar Pradesh,"Dr. Krishna Gopal Dwivedi Ayurvedic Medical College & Hospital Sarmau, Jhansi-284003 Uttar Pradesh",Private,"Grant of Conditional Permission with intake capacity 45 seats (instead of 50 seats)  in UG (BAMS) course under section  28  of  NCISM  Act,  2020  for  the  academic session 2024-25",45,0,0,0,0,0,Conditional Permission with seat Reducation (UG - 45 seats without EWS)
370,AYU0359,Haryana,"Gangaputra Ayurvedic College, Kaithal Road Kandela, Distt.
Jind -126102,
Haryana",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)  course  under  section  28  of  NCISM  Act,  2020 for the academic session 2024-25",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
371,AYU0362,Madhya Pradesh,"Parashar Ayurvedic Medical College & Hospital,
Zirniya Narsinggard Road, Parvalia,
Bhopal-462030, Madhya Pradesh",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)  course  under  section  28  of  NCISM  Act,  2020 for the academic session 2024-25",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
372,AYU0367,Uttar Pradesh,"Shri Ramachandra Vaidya Ayurvedic Medical College and Hospital, Yamuna Vihar, Malhaur Road, Near Eldico Tiraha, Chinhat, Lucknow- 226028, Uttar Pradesh",Private,"Grant of Conditional Permission with intake capacity of
60  seats  in  UG  (BAMS)  course  under  section  28  of NCISM Act, 2020 for the academic session 2024-25",60,0,0,0,0,0,Revised Conditional Permission (UG - 60 seats without EWS)
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
373,AYU0372,Uttar Pradesh,"Sanjeevani Ayurvedic Medical College,
Village- Kudana Chak, Near Brijghat,
Distt-Amroha-244235, Uttar Pradesh",Private,"Grant of Conditional Permission with intake capacity of
60 seats (instead of 100 seats)  in UG  (BAMS) course for the academic session 2024-25 under section 28 of the NCISM Act, 2020",60,0,0,0,0,0,Conditional Permission with Seat Reduction after 2nd Appeal (UG - 60 seats without EWS)
374,AYU0376,Gujarat,"Eva College of Ayurved, Zanzmer Road,
At. Supedi, Distt. Rajkot- 360440,
Gujarat",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)  course  under  section  28  of  NCISM  Act,  2020 for the academic session 2024-25",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
375,AYU0377,Uttarakhand,"Om Ayurvedic College and Research Centre,
Near Crystal World, Roorkee Haridwar NH-58,
Vill.-Punchayanpur, PO- Daulatpur, Roorkee,
Haridwar-249402, Uttarakhand",Private,"Grant of Conditional Permission with intake capacity of 30 seats [instead of 60 seats] in UG (BAMS) course for the  academic  session  2024-25  under  section  28  of NCISM Act, 2020",30,0,0,0,0,0,Conditional Permission with seat reduction (UG - 30 seats without EWS)
376,AYU0386,Gujarat,"Manjushree Research Institute of Ayurvedic Science, Pethapur- Mahudi Road, Near G.G.S., Piplaj-382610, Gandhinagar, Gujarat",Private,"Grant  of  Conditional  Permission  with  100 seats  in UG (BAMS) course, under section 28 of NCISM Act, 2020 for the academic session 2024-25",100,0,0,0,0,0,Conditional Permission (UG - 100 seats without EWS)
377,AYU0388,Uttar Pradesh,"Vivek College of Ayurvedic Sciences & Hospital, Moradabad Road, Post-Agri, Distt. Bijnor-246701,
Uttar Pradesh",Private,"Grant of Conditional Permission with intake capacity of
100  seats  in  UG  (BAMS)  course,  under  section  28  of NCISM Act, 2020 for the academic session 2024-25",100,0,0,0,0,0,Conditional Permission (UG - 100 seats without EWS)
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
378,AYU0389,Haryana,"National College of Ayurved, Dhani Garan Road, Shop No. 14, New Grain Market, Barwala, Hisar-125121, Haryana",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS) course, under section 28 of NCISM Act, 2020 and 2nd renewal of permission with 60 seats to 100 seats in UG (BAMS) course, under section 29 of NCISM Act, 2020 from the academic session 2024-25",100,0,0,0,0,0,Conditional Permisssion (UG - 60 seats without EWS) and 2nd Renewal of Permission (60 to 100 seats)
379,AYU0390,Uttar Pradesh,"R.B. Ayurvedic Medical College & Hospital,
at Jalesar Road, Agra- 207302, Uttar Pradesh",Private,"Grant of Conditional Permission with intake capacity of
100  seats  in  UG  (BAMS)  course,  for  the  academic session 2024-25 under section 28 of NCISM Act, 2020",100,0,0,0,0,0,Conditional Permission (UG - 100 seats without EWS)
380,AYU0395,Kerala,"Ashtamgam Ayurveda Chikisalyam & Vidyapeedham at Vavanoor, Koottanad, Distt. Palakkad,
Kerala-679533",Private,"Grant of Conditional Permission for intake capacity with
60  seats  in  UG  (BAMS)  course,  for  the  academic session 2024-25 under section 28 of NCISM Act, 2020",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
381,AYU0396,Uttar Pradesh,"Dhanvantari Ayurvedic Medical College & Hospital, Vill. Chitauli,
P.O. Fatehganj (W),
Distt. Bareilly-243501, Uttar Pradesh",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)  course  under  section  28  of  NCISM  Act,  2020 for the academic session 2024-25",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
382,AYU0399,Punjab,"Harmony Ayurvedic Medical College & Hospital,
at Near FCI Godowns, Kachha Zira Road,
Ferozepur City, Distt. Ferozepur, Punjab-152002",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)  course  under  section  28  of  NCISM  Act,  2020 for the academic session 2024-25",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
383,AYU0400,Uttar Pradesh,"Bapu Ayurvedic Medical College Evam Hospital,
Ladanpur, Kopaganj, Distt. Mau, Uttar Pradesh-275101",Private,"Grant of Conditional Permission with intake capacity of
100  seats  in  UG  (BAMS)  course  under  section  28  of NCISM Act, 2020 for the academic session 2024-25",100,0,0,0,0,0,Conditional Permission (UG - 100 seats without EWS)
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
384,AYU0407,Punjab,"Saraswati Ayurved Hospital and Medical College, VPO Gharuan- 140413, Tehsil Kharar, Distt.
S.A.S. Nagar Mohali, Punjab",Private,"Grant of Conditional Permission with 90 seats (instead of 100 seats) in UG (BAMS) course under section 28 of NCISM Act, 2020 for the academic session 2024-25",90,0,0,0,0,0,Conditional Permission with seat reduction (UG - 90 seats without EWS)
385,AYU0409,Punjab,"Khalsa Ayurvedic Medical College & Hospital,
At Village Nangal Kalan, Distt. Mansa-151505, Punjab",Private,"Grant of Conditional Permission with 53 seats (instead of 60 seats) in UG (BAMS) course under section 28 of NCISM Act, 2020 for the academic session 2024-25",53,0,0,0,0,0,Conditional Permission with seat reduction (UG-53 seats without EWS)
386,AYU0410,Uttar Pradesh,"Mahaveer Ayurvedic Medical College & Hospital, Pohalli Saradhana Road, Meerut- 250341, Uttar Pradesh",Private,"Grant  of  Conditional  Permission  with  100 seats  in UG (BAMS)  course  under  section  28  of  NCISM  Act,  2020 for the academic session 2024-25",100,0,0,0,0,0,Conditional Permission (UG - 100 seats without EWS)
387,AYU0411,Tamil Nadu,"Immanuel Arasar Ayurveda Medical College & Hospital, Nattalam, Marthandam, Kanyakumari-629195, Tamil Nadu",Private,"Grant  of  2nd  Renewal  of  Permission  with  60  seats  in UG  (BAMS)  course  for  the  academic  session  2024-25 under section 29 of NCISM Act, 2020",60,0,0,0,0,0,2nd Renewal of Permission (UG - 60 seats without EWS)
388,AYU0414,Uttar Pradesh,"WTM Ayurvedic Medical College & Hospital, Village-Fatehpur Mafi, Post-Palaula Joya-Sambhal Road, Distt. Amroha-244222, Uttar Pradesh",Private,"Grant of Conditional Permission with intake capacity 60 seats  (instead  of  100  seats)   in  UG  (BAMS)  course, under section 28 of NCISM Act, 2020 for the academic session 2024-25",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
389,AYU0416,Uttar Pradesh,"Prakash Institute of Ayurvedic Medical Sciences and Research, at Jhhajar, Bulandshehar,
Uttar Pradesh",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS) course, under section 28 of NCISM Act, 2020 for the academic session 2024-25",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
390,AYU0417,Uttar Pradesh,"S.R.S. Ayurvedic Medical College and Hospital,
Village-Sikandarpur, P.O. Tehra, Gwailor Road, Distt. Agra- 282001,
Uttar Pradesh",Private,"Grant of Conditional Permission with intake capacity of
60  seats  in  UG  (BAMS)  course,  under  section  28  of NCISM Act, 2020 for the academic session 2024-25",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
391,AYU0421,Karnataka,"K.T.G. Ayurvedic Medical College & Hospital, Sy.No.93 & Sy.No 78/5, Sreegandhada kavalu,  Via:
Magadi Main Road, Hegganhalli Cross,  Sunkadakatte-Peenya Road, Vishwaneedma Post, Bangalore-560091, Karnataka",Private,"Grant of Conditional Permission with intake capacity of 42 seats [instead of 60 seats] in UG (BAMS) course for the  academic  session  2024-25  under  section  28  of NCISM Act,  2020 and relevant  regulations thereunder with   respect   to   appeal   dated   31.08.2024   and   in compliance  of  Hon'ble  High  Court  of  Karnataka  vide Writ Petition No. 29487/2024 dated 28.10.2024.",42,0,0,0,0,0,Conditional Permission with seat reduction in UG after 1st appeal (UG- 42 seats without EWS)
392,AYU0436,Uttar Pradesh,"Dr. Vijay Ayurvedic Medical College, Hospital & Research Centre, Village-Bhandaha Kala, Post-Kaithi, Varanasi-221116, Uttar Pradesh",Private,"Grant of conditional permission with intake capacity of 30 seats (instead of 60 seats on the basis of request of the  college)  in  UG  (BAMS)  course  for  the  academic session  2024-25  under  section  28  of  the  NCISM  Act, 2020",30,0,0,0,0,0,Conditional Permission with seat reduction after 2nd Appeal (UG - 30 seats without EWS)
393,AYU0441,Gujarat,"Bhargava Ayurveda College, Vidyagram, Post-Dahemi, Ta. Borsad, Distt. Anand- 388560, Gujarat",Private,"Grant  of  Conditional  Permission  with  100 seats  in UG (BAMS)  course  under  section  28  of  NCISM  Act,  2020 for the academic session 2024-25",100,0,0,0,0,0,Conditional Permission (UG - 100 seats without EWS)
394,AYU0444,Uttar Pradesh,"SAS Ayurvedic Medical College & Hospital,
Rameshwar Road, Harhua- 221105,
Uttar Pradesh",Private,"Grant of Conditional Permission with intake capacity of
60  seats  in  UG  (BAMS)  course  under  section  28  of NCISM Act, 2020 for the academic session 2024-25",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
